,id,abstract,keywords
0,SCOPUS_ID:85112246017,"Background: Chagas disease (CD) and ischemic stroke (IS) have a close, but poorly understood, association. There is paucity of evidence on the ideal secondary prophylaxis and etiological determination, with few cardioembolic patients being identified. Aims: This study aimed to describe a multicenter cohort of patients with concomitant CD and IS admitted in tertiary centers and to create a predictive model for cardioembolic embolism in CD and IS. Materials and methods: We retrospectively studied data obtained from electronic medical and regular medical records of patients with CD and IS in several academic, hospital-based, and university hospitals across Brazil. Descriptive analyses of cardioembolic and non-cardioembolic patients were performed. A prediction model for cardioembolism was proposed with 70% of the sample as the derivation sample, and the model was validated in 30% of the sample. Results: A total of 499 patients were analyzed. The median age was similar in both groups; however, patients with cardioembolic embolism were younger and tended to have higher alcoholism, smoking, and death rates. The predictive model for the etiological classification showed close relation with the number of abnormalities detected on echocardiography and electrocardiography as well as with vascular risk factors. Conclusions: Our results replicate in part those previously published, with a higher prevalence of vascular risk factors and lower median age in patients with cardioembolic etiology. Our new model for predicting cardioembolic etiology can help identify patients with higher recurrence rate and therefore allow an optimized strategy for secondary prophylaxis. © 2021 Elsevier Inc.","Artificial Intelligence,Cardio-aortic embolism,Chagas disease,Epidemiology,Ischemic stroke,Multicenter study"
1,SCOPUS_ID:85105887514,"Diabetic retinopathy (DR) is a global health burden. Screening for sight-threatening DR (STDR) is the first cost-effective step to decrease this burden. We analyzed the similarities and variations between the recent country-specific and the International Council of Ophthalmology (ICO) DR guideline to identify gaps and suggest possible solutions for future universal screening. We selected six representative national DR guidelines, one from each World Health Organization region, including Canada (North America), England (Europe), India (South- East Asia), Kenya (Africa), New Zealand (Western Pacific), and American Academy of Ophthalmology Preferred Practice Pattern (used in Latin America and East Mediterranean). We weighed the newer camera and artificial intelligence (AI) technology against the traditional screening methodologies. All guidelines agree that screening for DR and STDR in people with diabetes is currently led by an ophthalmologist; few engage non-ophthalmologists. Significant variations exist in the screening location and referral timelines. Screening with digital fundus photography has largely replaced traditional slit-lamp examination and ophthalmoscopy. The use of mydriatic digital 2-or 4-field fundus photography is the current norm; there is increasing interest in using non-mydriatic fundus cameras. The use of automated DR grading and tele-screening is currently sparse. Country-specific guidelines are necessary to align with national priorities and human resources. International guidelines such as the ICO DR guidelines remain useful in countries where no guidelines exist. Validation studies on AI and tele-screening call for urgent policy decisions to integrate DR screening into universal health coverage to reduce this global public health burden. © 2021, The Author(s), under exclusive licence to The Royal College of Ophthalmologists.",
2,SCOPUS_ID:85116955096,"Background: Populational ageing has been increasing in a remarkable rate in developing countries. In this scenario, preventive strategies could help to decrease the burden of higher demands for healthcare services. Machine learning algorithms have been increasingly applied for identifying priority candidates for preventive actions, presenting a better predictive performance than traditional parsimonious models. Methods: Data were collected from the Health, Well Being and Aging (SABE) Study, a representative sample of older residents of Saõ Paulo, Brazil. Machine learning algorithms were applied to predict death by diseases of respiratory system (DRS), diseases of circulatory system (DCS), neoplasms and other specific causes within 5 years, using socioeconomic, demographic and health features. The algorithms were trained in a random sample of 70% of subjects, and then tested in the other 30% unseen data. Results: The outcome with highest predictive performance was death by DRS (AUC-ROC = 0.89), followed by the other specific causes (AUC-ROC = 0.87), DCS (AUC-ROC = 0.67) and neoplasms (AUC-ROC = 0.52). Among only the 25% of individuals with the highest predicted risk of mortality from DRS were included 100% of the actual cases. The machine learning algorithms with the highest predictive performance were light gradient boosted machine and extreme gradient boosting. Conclusion: The algorithms had a high predictive performance for DRS, but lower for DCS and neoplasms. Mortality prediction with machine learning can improve clinical decisions especially regarding targeted preventive measures for older individuals. © 2021 The Author(s). Published by Oxford University Press on behalf of the British Geriatrics Society. All rights reserved.","machine learning,mortality,older people,prediction modelling"
3,SCOPUS_ID:85109585981,"Background and Objective: Operating Rooms (ORs) are among the most expensive services in hospitals. A challenge to optimize the OR efficiency is to improve the surgery scheduling task, which requires the estimation of surgical time duration. Surgeons or programming units (based on people's experience) typically do the duration estimation using an experience-based strategy, which may include some bias, such as overestimating the surgery time, increasing ORs' operational cost. Methods: This paper analyzes a machine learning-based solution for surgical time predictions. We apply and compare four machine-learning algorithms (Linear Regression, Support Vector Machines, Regression Trees, and Bagged Trees) to predict the surgical time duration at a tertiary referral university hospital in Bogotá, Colombia. Historical data from 2004 until 2019 was used to train the algorithms. Comparison among algorithms was given in terms of the Root Mean Square Error (RMSE) of the predicted surgery duration and the algorithms' computing time. The algorithm with the best performance was compared to the currently used experience-based method. Results: All the ML algorithms predict the surgery duration with an error between 26 and 37 min. The best overall performance was obtained using Bagged Trees (26 min RMSE, 3.16 min training time, 0.49 min testing time) when using a subset of the DB with the nine specialties containing 80% of the surgeries. Bagged Trees also outperformed the experience-based method with a lower RMSE; however, it also shifted from a predominant overestimation to underestimating surgeries' duration. Conclusions: Different ML algorithms for predicting the surgical time duration, showing and comparing their performance. Bagged Trees showed the best performance in terms of RMSE and computing time. Depending on the initial data, Bagged Trees outperformed the experience-based method, but future work is necessary to suit it, like any other ML algorithm, to the hospitals' needs. © 2021","Assembly methods,Linear regression,Machine learning,Regression trees,Support vector machine,Surgical time prediction"
4,SCOPUS_ID:85106617575,"(1) Background: The COVID-19 pandemic has created a great impact on mental health in society. Considering the little attention paid by scientific studies to either students or university staff during lockdown, the current study has two aims: (a) to analyze the evolution of mental health and (b) to identify predictors of educational/professional experience and online learning/teaching expe-rience. (2) Methods: 1084 university students and 554 staff in total from four different countries (Spain, Colombia, Chile and Nicaragua) participated in the study, affiliated with nine different uni-versities, four of them Spanish and one of which was online. We used an online survey known as LockedDown, which consists of 82 items, analyzed with classical multiple regression analyses and machine learning techniques. (3) Results: Stress level and feelings of anxiety and depression of students and staff either increased or remained over the weeks. A better online learning experience for university students was associated with the age, perception of the experience as beneficial and support of the university. (4) Conclusions: The study has shown evidence of the emotional impact and quality of life for both students and staff. For students, the evolution of feelings of anxiety and de-pression, as well as the support offered by the university affected the educational experience and online learning. For staff who experienced a positive professional experience, with access to services and products, the quality-of-life levels were maintained. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.","COVID-19,Mental health,Online learning,University staff,University students"
5,SCOPUS_ID:85104657972,"Background: Periodically, humanity is often faced with new and emerging viruses that can be a significant global threat. It has already been over a century post—the Spanish Flu pandemic, and we are witnessing a new type of coronavirus, the SARS-CoV-2, which is responsible for Covid-19. It emerged from the city of Wuhan (China) in December 2019, and within a few months, the virus propagated itself globally now resulting more than 50 million cases with over 1 million deaths. The high infection rates coupled with dynamic population movement demands for tools, especially within a Brazilian context, that will support health managers to develop policies for controlling and combating the new virus. Methods: In this work, we propose a tool for real-time spatio-temporal analysis using a machine learning approach. The COVID-SGIS system brings together routinely collected health data on Covid-19 distributed across public health systems in Brazil, as well as taking to under consideration the geographic and time-dependent features of Covid-19 so as to make spatio-temporal predictions. The data are sub-divided by federative unit and municipality. In our case study, we made spatio-temporal predictions of the distribution of cases and deaths in Brazil and in each federative unit. Four regression methods were investigated: linear regression, support vector machines (polynomial kernels and RBF), multilayer perceptrons, and random forests. We use the percentage RMSE and the correlation coefficient as quality metrics. Results: For qualitative evaluation, we made spatio-temporal predictions for the period from 25 to 27 May 2020. Considering qualitatively and quantitatively the case of the State of Pernambuco and Brazil as a whole, linear regression presented the best prediction results (thematic maps with good data distribution, correlation coefficient >0.99 and RMSE (%) <4% for Pernambuco and around 5% for Brazil) with low training time: [0.00; 0.04 ms], CI 95%. Conclusion: Spatio-temporal analysis provided a broader assessment of those in the regions where the accumulated confirmed cases of Covid-19 were concentrated. It was possible to differentiate in the thematic maps the regions with the highest concentration of cases from the regions with low concentration and regions in the transition range. This approach is fundamental to support health managers and epidemiologists to elaborate policies and plans to control the Covid-19 pandemics. © Copyright © 2021 da Silva, de Lima, da Silva, Silva, Marques, de Araújo, Albuquerque Júnior, de Souza, de Santana, Gomes, Barbosa, Musah, Kostkova, dos Santos and da Silva Filho.","COVID-19,Covid-19 pandemics forecasting,digital epidemiology,SARS-CoV-2,spatio-temporal analysis,spatio-temporal forecasting"
6,SCOPUS_ID:85104152762,"Background: Controlling the COVID-19 outbreak in Brazil is a challenge due to the population's size and urban density, inefficient maintenance of social distancing and testing strategies, and limited availability of testing resources. Objective: The purpose of this study is to effectively prioritize patients who are symptomatic for testing to assist early COVID-19 detection in Brazil, addressing problems related to inefficient testing and control strategies. Methods: Raw data from 55,676 Brazilians were preprocessed, and the chi-square test was used to confirm the relevance of the following features: gender, health professional, fever, sore throat, dyspnea, olfactory disorders, cough, coryza, taste disorders, and headache. Classification models were implemented relying on preprocessed data sets; supervised learning; and the algorithms multilayer perceptron (MLP), gradient boosting machine (GBM), decision tree (DT), random forest (RF), extreme gradient boosting (XGBoost), k-nearest neighbors (KNN), support vector machine (SVM), and logistic regression (LR). The models' performances were analyzed using 10-fold cross-validation, classification metrics, and the Friedman and Nemenyi statistical tests. The permutation feature importance method was applied for ranking the features used by the classification models with the highest performances. Results: Gender, fever, and dyspnea were among the highest-ranked features used by the classification models. The comparative analysis presents MLP, GBM, DT, RF, XGBoost, and SVM as the highest performance models with similar results. KNN and LR were outperformed by the other algorithms. Applying the easy interpretability as an additional comparison criterion, the DT was considered the most suitable model. Conclusions: The DT classification model can effectively (with a mean accuracy.89.12%) assist COVID-19 test prioritization in Brazil. The model can be applied to recommend the prioritizing of a patient who is symptomatic for COVID-19 testing. © 2021 Journal of Medical Internet Research. All rights reserved.","Classification models,COVID-19,Medical diagnosis,Test prioritization"
7,SCOPUS_ID:85104047429,"Background: According to the World Health Organization, achieving targets for control of leprosy by 2030 will require disease elimination and interruption of transmission at the national or regional level. India and Brazil have reported the highest leprosy burden in the last few decades, revealing the need for strategies and tools to help health professionals correctly manage and control the disease. Objective: The main objective of this study was to develop a cross-platform app for leprosy screening based on artificial intelligence (AI) with the goal of increasing accessibility of an accurate method of classifying leprosy treatment for health professionals, especially for communities further away from major diagnostic centers. Toward this end, we analyzed the quality of leprosy data in Brazil on the National Notifiable Diseases Information System (SINAN). Methods: Leprosy data were extracted from the SINAN database, carefully cleaned, and used to build AI decision models based on the random forest algorithm to predict operational classification in paucibacillary or multibacillary leprosy. We used Python programming language to extract and clean the data, and R programming language to train and test the AI model via cross-validation. To allow broad access, we deployed the final random forest classification model in a web app via shinyApp using data available from the Brazilian Institute of Geography and Statistics and the Department of Informatics of the Unified Health System. Results: We mapped the dispersion of leprosy incidence in Brazil from 2014 to 2018, and found a particularly high number of cases in central Brazil in 2014 that further increased in 2018 in the state of Mato Grosso. For some municipalities, up to 80% of cases showed some data discrepancy. Of a total of 21,047 discrepancies detected, the most common was ""operational classification does not match the clinical form.""After data processing, we identified a total of 77,628 cases with missing data. The sensitivity and specificity of the AI model applied for the operational classification of leprosy was 93.97% and 87.09%, respectively. Conclusions: The proposed app was able to recognize patterns in leprosy cases registered in the SINAN database and to classify new patients with paucibacillary or multibacillary leprosy, thereby reducing the probability of incorrect assignment by health centers. The collection and notification of data on leprosy in Brazil seem to lack specific validation to increase the quality of the data for implementations via AI. The AI models implemented in this work had satisfactory accuracy across Brazilian states and could be a complementary diagnosis tool, especially in remote areas with few specialist physicians. © 2021 Márcio Luís Moreira De Souza, Gabriel Ayres Lopes, Alexandre Castelo Branco, Jessica K Fairley, Lucia Alves De Oliveira Fraga.","Apps,Artificial intelligence,Leprosy,MHealth,Python,R,Random forest,ShinyApp"
8,SCOPUS_ID:85114197279,"Currently the high rates of university dropouts and low graduation are social problems that are very relevant in Chilean society. Predicting these events can allow institutions to take action to avoid them. The typical prediction models based on machine learning are capable of making reliable predictions, however they do not allow to understand the causality that originates both events, which could help to take better actions. This work proposes to find, analyze and weigh the causal relationships that allow predicting whether a student will drop out or will graduate according to the information available using a framework with Bayesian networks. The study is based on real data from the Universidad Católica de Temuco in Chile collected over three years. The results reveal variables and relevant relationships according the opinion of human experts, which suggest that the proposed model provides better capabilities to represent the causality of university dropout and graduation. From the results we believe that it is feasible to design better retention policies and timely degree at a university. © 2021 IEEE.","Bayesian networks,Desertion,Education,Graduation"
9,SCOPUS_ID:85104862232,"Right after the Chinese example in conducting COVID-19 epidemic originated in Wuhan, the readiness to detect and respond by health authorities to local (sometimes global) epidemics has become central lately. Within the idea of health 4.0, information about the individual is essential in supporting public community health policies. This paper presents a proposal for an epidemiological surveillance system applied to arboviruses. Data mining techniques and Machine Learning (ML) are used to design mathematical models for detecting epidemics enhanced by Aedes Aegypti (vector for dengue, chikungunaya, yellow fever and zica). Based on data, it is proposed an adaptive manner to reach better stability on results. A Prove of Concept (PoC) is presented for dengue epidemics detection, a common endemic disease in the semiarid region of Brazil. © 2021 IEEE.","Arbovirus,Brazilian health data,CRISP-DM,Data mining,Public health system"
