,id,abstract,keywords
0,SCOPUS_ID:85117816195,"Reference evapotranspiration (ETo) can be estimated using the FAO56-Penman-Monteith (FAO56-PM) equation but it requires commonly unavailable meteorological data. Therefore, this study assessed different approaches to estimate ETo based on temperature and relative humidity, and temperature only across Brazil, as follows: (i) using the FAO56-PM equation with missing data estimated based on FAO56 methodologies; (ii) using the FAO56-PM equation with missing data estimated based on machine learning; and (iii) estimating ETo directly using machine learning. The FAO56-PM equation was also calibrated through linear regression and by calibrating the methodologies used to estimate missing data. The potential benefits of using multi-task learning (MTL) and clustering were also investigated. Data from 437 weather stations were used. Artificial neural network (ANN), random forest (RF), extreme gradient boosting (XGBoost) and multivariate adaptive regression splines (MARS) were employed. In both general and clustering scenarios, calibrating the FAO56-PM equation using linear regression provided slightly better results than calibrating the methodologies used to estimate missing data. In contrast to temperature- and relative humidity-based FAO56-PM equation, its temperature-based version performed better before both calibration types assessed. The machine learning models performed the best to estimate ETo and missing data. Combining the machine learning models with the FAO56-PM equation to estimate ETo performed similarly to using them individually. MTL and single-task learning (STL) provided similar results. In the general scenario, for the temperature-based models, using PM-ANN-STL increased mean NSE from 0.49 to 0.53 in relation to the non-calibrated FAO56-PM equation. For the temperature- and relative humidity-based models, using ANN and RF developed with STL or MTL increased NSE from 0.56 to 0.67 in relation to the FAO56-PM equation calibrated using linear regression. When using the clustering strategy, performance gains were obtained in estimating ETo with the temperature-based models, increasing mean NSE up to 0.58. © 2021 Elsevier B.V.","Generalizability,MARS,Neural networks,Solar radiation,Wind speed"
1,SCOPUS_ID:85099809927,"Lettuce (Lactuca sativa) is the main leafy vegetable produced in Brazil. Since its production is widespread all over the country, lettuce traceability and quality assurance is hampered. In this study, we propose a new method to identify the geographical origin of Brazilian lettuce. The method uses a powerful data mining technique called support vector machines (SVM) applied to elemental composition and soil properties of samples analyzed. We investigated lettuce produced in São Paulo and Pernambuco, two states in the southeastern and northeastern regions in Brazil, respectively. We investigated efficiency of the SVM model by comparing its results with those achieved by traditional linear discriminant analysis (LDA). The SVM models outperformed the LDA models in the two scenarios investigated, achieving an average of 98 % prediction accuracy to discriminate lettuce from both states. A feature evaluation formula, called F–score, was used to measure the discriminative power of the variables analyzed. The soil exchangeable cation capacity, soil contents of low crystalized Al and Zn content in lettuce samples were the most relevant components for differentiation. Our results reinforce the potential of data mining and machine learning techniques to support traceability strategies and authentication of leafy vegetables. © 2022, University of Sao Paolo. All rights reserved.","Feature selection,Heavy metals,ICP–OES,Traceability,Tropical soils"
2,SCOPUS_ID:85116100214,"Currently, the adoption of smart technologies for sustainable farming systems creates a distinct competitive edge for farmers, extension services, agri-business, and policy-makers. However, selecting the most appropriate technologies from a wide range of options is never an easy job. In this context, several authors consider Smart Farming as the best solution. However, they fall short in providing more information to recommend the most appropriate IoT technology, the options to manage the IoT infrastructure, and the services to crop management plans and crop production estimation. This paper implements a Smart Farming System based on a three-layered architecture (Agriculture Perception, Edge Computing, and Data Analytics). In the Agriculture Perception Layer, we evaluated Omicron, Libelium, and Intel technologies under criteria such as the price, the number of inputs for sensor connection, communication protocols, portability, battery life, and harvesting energy system photovoltaic panel. We evaluated edge-based management mechanisms in the Edge Layer to provide data reliability, focusing on outlier detection and treatment using Machine Learning and Interpolation algorithms. We recommend the Isolation Forest algorithm for classifying outliers in the monthly temperature dataset (99% of precision) and the Cubic Spline technique for effectively replacing the data classified as outliers (RMSE lower than 0.085). In the Data Analytics Layer, we evaluated different machine learning algorithms to estimate coffee production. The results show that the measured error values of the XGBOOST algorithm keep the values lower than the other models (RMSE 0.008, MAE 0.032, and RSE 0.585). The www.iot-agro.com platform offers farmer services such as weather variables monitoring, coffee production estimating, and IoT infrastructure setting. Finally, stakeholders, researchers, and engineers validated our Smart Farming Solution through a Colombian coffee farm case study. The test evaluated the usability, the straightforward interpretation of data, and the look feel of the web application. © 2021 Elsevier B.V.","BPMN,Coffee Farm,Data Analytics,Internet of Things,Outlier Detection,Smart Farming"
3,SCOPUS_ID:85108877601,"One of the great challenges in the geosciences is mapping targets and phenomena that are not fully in direct range of imaging instruments such as remote sensors. Thus, soil maps are still scarce, especially at the detail level for large regions, with the few official maps being restricted to small spatial cutouts, resulting in an increasing demand for pedological information. The aim of this work was to analyze the use of covariates related to geological and terrain attributes on the performance of soil class predictive models for digital soil mapping with pixel- and geographic object-based image analysis (GEOBIA) approaches in the context of sub-humid tropical environments of the Cerrado biome, in central-western Brazil, to reproduce a conventional map. A reference soil map at the scale 1:50,000 with twelve soil classes was used. Randomly stratified samples and the Random Forest (RF) classifier was performed with seventeen digital elevation model derivatives and the geology categorical data (lithostratigraphic units) as covariates for the prediction of soil classes in both approaches. The main results demonstrated that GEOBIA is a promising method for mapping soil classes, with overall accuracy of 0.70, which is 5% higher than pixel-based. The most important covariates for soil class mapping were related to Geology and terrain attributes: Altitude, Vertical Distance to Channel Network, Vector Terrain Ruggedness, Relative Slope Position, Topographic Height, Profile Curvature, Roughness, Slope, and Valley Depth. The integration of the geological covariate improved the models in both approaches. Integrated evaluation of the geological units and terrain attributes along with the use of machine learning techniques, such as the RF algorithm, is a promising and relevant strategy for digital predictive mapping of soil classes that can contribute toward the greater reproducibility of conventional soil maps. © 2021 Elsevier B.V.","Digital soil mapping,Digital terrain analysis,Geological substrate,Random forest"
4,SCOPUS_ID:85109117093,"Straw removal requires a complex set of mechanized operations, including machines for raking, baling, and transporting the straw, which may intensify soil physical degradation in sugarcane fields. A field experiment was conducted to estimate the stress transmitted caused by a set of machines used for sugarcane straw removal and to quantify the impact of these stresses on soil physical indicators. The treatments consisted of reproducing the field traffic of individual and sequential operations used for straw removal, including raking; raking + baling; and raking + baling + transporting operations. Soil bulk density (BD), soil penetration resistance (SPR), macroporosity (MaP) and microporosity (MiP) at the depths of 2.5, 5, 15, and 30 cm were measured before and after the field operations. Contact area of the tires and stress transmitted into the soil induced by the straw removal operations were simulated by SoilFlex model and then used to assess the magnitude of the changes in soil physical indicators. Results showed that baling operation transmitted the highest stress (∼400 kPa), followed by straw raking and transporting, whose transmitted stress level exceed 300 kPa near the soil surface. The sum of sequential operations (i.e., raking + bale + transporting) showed the highest negative impact on soil physical quality. The magnitude of the changes in soil physical indicators occurred according to initial conditions of BD and transmitted stress. Our results show that operations for straw removal intensify soil compaction, which can be detrimental to sustain soil health and plant growth. Therefore, we advocate that traffic control strategies should be adopted during the straw removal operations to improve soil quality towards greater sustainability of sugarcane production in Brazil. © 2021 Elsevier B.V.","Bioenergy,Field traffic,Soil physical disturbance,Soil porosity,Straw baling route"
5,SCOPUS_ID:85107618308,"Brazil is one of the leading timber producers in the world. However, in South Brazil, frost events frequently cause damage and reduce yield in forest plantations, a situation predicted to become more common under global change scenarios. This raises the need for low cost and efficient tools, such as machine learning algorithms to improve forecasting of frost risk. This study used machine learning algorithms to create zoning classifications forecasting frost risk for forest plantations located in the south-central region of Rio Grande do Sul State, Brazil. For this, we gathered and processed data from a local geodatabase (i.e. high-spatial-resolution contour lines, hydrography, and forest stands limits) comprising 30 management units with consistent historical data of frost occurrence. Then, we generated possible local-scale predictors of frost occurrence, which included longitude, latitude, elevation, relative altitude, relief orientation, and Euclidean distance from hydrography. We carried out tests of three machine learning classifiers (Random Forest – RF; Support Vector Machine-SVM and Multi-layer Perceptron-MLP) in order to determine which would most accurately predict frost occurrence. We found that RF provided the highest accuracy (> 90%), as well as the smallest percentages of class-specific errors (i.e. commission and omission errors), when compared to SVM and MLP. Latitude was the most important predictor of frost occurrence when using RF. Conversely, MLP performed worst, especially for classifying frost occurrence versus non-occurrence, and therefore had the highest percentage of class-specific errors. Our findings lead us to conclude that RF is the most proficient algorithm for forecasting frost occurrence from local-scale geomorphological data, without the need for high-cost investment in micro-meteorological sensors to monitor climate frost events linking temperature to plant damage. With increasing global climate extreme events, accurate risk zoning is essential for planning strategies of plantation at the landscape scale. © 2021","Climatic forecast,Forest production,Frost Events,Geoprocessing,Machine learning algorithms"
6,SCOPUS_ID:85108849717,"In science, estimation is the calculation of a current value, while forecasting (or prediction) is the calculation of a future value. Both estimation and forecasting are based on covariates. However, whereas estimation enables greater agility in current decision making, forecasting can reveal different strategies for the future. The use of Artificial Neural Networks (ANNs) has brought improvements in accuracy to the estimation and forecasting of agricultural yield for various crops around the world. These models are part of a set of machine-learning models, becoming an important ally not only to producers, companies, cooperatives, and to government institutions for decisions making and strategic decisions at all levels of the agricultural system. The main constraints of agricultural production are climatic conditions and soil water availability during crop cycles. We propose the use of ANNs for soybean [Glycine max (L.) Merr.] yield estimation and forecasting 2 mo before harvesting in the region of MATOPIBA, the largest and the last agricultural frontier of Brazil. This tropical agricultural area has about 73,173,485 hectares, corresponding to approximately 1.3 times the area of France. The input features for ANN were the monthly climatic conditions of air temperature, precipitation, and global radiation, as well as components of the water balance such as crop evapotranspiration, soil water storage, actual evapotranspiration, water deficiency, and surpluses during the cultivation cycle. The evaluation of ANN for yield estimation had R2 =.88 and RMSE = 167.85 kg ha–1, while the ANN for forecasting obtained R2 =.86 and RMSE = 185.85 kg ha–1. © 2021 The Authors. Agronomy Journal © 2021 American Society of Agronomy.",
7,SCOPUS_ID:85105340476,"Wildlife-vehicle collision - WVC is a phenomenon that arises from the fragmentation of ecosystems by roads, limiting the mobility of individuals and putting at risk the stability of populations by increasing mortality. Colombia is not unaware of the problem of the WVC, evidenced in different scientific publications that describe the WVC in the roads of the country. Although the rise of artificial intelligence has significant advances in the prediction of spatial phenomena in recent years, it has not yet been sufficiently explored by Road Ecology. For this reason, this research aimed to develop a methodology to predict the sites of accumulation of WVC in eastern Antioquia, Colombia, based on artificial intelligence algorithms, geographic information systems - GIS, and multispectral image processing. During the development of this research, it was identified that the features most related to the WVC in the study area are: Distance to Forest, Distance to Biological Corridor, Ground Resistance to Movement, Cost of Movement, the bands of the Landsat 8 satellite: 9, 10, 11 and the normalized burning index (NBRI). Different machine learning algorithms were compared (k-nearest neighbours, support vector machines (SVM), random forests (RF), and artificial neural networks). SMOTE and ADASYN balancing techniques were applied. The results allowed to identify that the RF algorithm with ADASYN yielded the best performance when subjected to spatial-wise cross-validation (AUC-ROC 0.78 ± 0.12), surpassing the results of current state-of-the-art. Finally, the methodology was validated through a transfer learning experiment, training the RF-ADASYN algorithm with three zones of the eastern Antioquia region and validating on a different section (AUC-ROC = 0.87 ± 0.09), retraining the initial model with 5% of data from the validation database. © 2021 Elsevier B.V.","Machine learning,Multispectral imagery,Pattern recognition,Spatial analysis,Wildlife-vehicle collision"
8,SCOPUS_ID:85087303493,"Spatially resolved estimates of change in soil organic carbon (SOC) stocks are necessary for supporting national and international policies aimed at achieving land degradation neutrality and climate change mitigation. In this work we report on the development, implementation and application of a data-driven, statistical method for mapping SOC stocks in space and time, using Argentina as a pilot. We used quantile regression forest machine learning to predict annual SOC stock at 0–30 cm depth at 250 m resolution for Argentina between 1982 and 2017. The model was calibrated using over 5,000 SOC stock values from the 36-year time period and 35 environmental covariates. We preprocessed normalized difference vegetation index (NDVI) dynamic covariates using a temporal low-pass filter to allow the SOC stock for a given year to depend on the NDVI of the current as well as preceding years. Predictions had modest temporal variation, with an average decrease for the entire country from 2.55 to 2.48 kg C m−2 over the 36-year period (equivalent to a decline of 211 Gg C, 3.0% of the total 0–30 cm SOC stock in Argentina). The Pampa region had a larger estimated SOC stock decrease from 4.62 to 4.34 kg C m−2 (5.9%) during the same period. For the 2001–2015 period, predicted temporal variation was seven-fold larger than that obtained using the Tier 1 approach of the Intergovernmental Panel on Climate Change and United Nations Convention to Combat Desertification. Prediction uncertainties turned out to be substantial, mainly due to the limited number and poor spatial and temporal distribution of the calibration data, and the limited explanatory power of the covariates. Cross-validation confirmed that SOC stock prediction accuracy was limited, with a mean error of 0.03 kg C m−2 and a root mean squared error of 2.04 kg C m−2. In spite of the large uncertainties, this work showed that machine learning methods can be used for space–time SOC mapping and may yield valuable information to land managers and policymakers, provided that SOC observation density in space and time is sufficiently large. Highlights: We tested the use of machine learning for space–time mapping of soil organic carbon (SOC) stock. Predictions for Argentina from 1982 to 2017 showed a 3% decrease of the topsoil SOC stock over time. The machine learning model predicted a greater temporal variation than the IPCC Tier 1 approach. Accurate machine learning SOC stock prediction requires dense soil sampling in space and time. © 2020 The Authors. European Journal of Soil Science published by John Wiley & Sons Ltd on behalf of British Society of Soil Science.","Argentina,carbon stock,climate change,land degradation,quantile regression forest,space–time mapping"
9,SCOPUS_ID:85107932079,"<p>Vegetation optical depth (VOD) from microwave satellite observations has received much attention in global vegetation studies in recent years due to its relationship to vegetation water content and biomass. We recently have shown that VOD is related to plant productivity, i.e., gross primary production (GPP). Based on this relationship between VOD and GPP, we developed a theory-based machine learning model to estimate global patterns of GPP from passive microwave VOD retrievals. The VOD-GPP model generally showed good agreement with site observations and other global data sets in temporal dynamic but tended to overestimate annual GPP across all latitudes. We hypothesized that the reason for the overestimation is the missing effect of temperature on autotrophic respiration in the theory-based machine learning model. Here we aim to further assess and enhance the robustness of the VOD-GPP model by including the effect of temperature on autotrophic respiration within the machine learning approach and by assessing the interannual variability of the model results with respect to water availability. We used X-band VOD from the VOD Climate Archive (VODCA) data set for estimating GPP and used global state-of-the-art GPP data sets from FLUXCOM and MODIS to assess residuals of the VOD-GPP model with respect to drought conditions as quantified by the Standardized Precipitation and Evaporation Index (SPEI).</p> <p>Our results reveal an improvement in model performance for correlation when including the temperature dependency of autotrophic respiration (average correlation increase of 0.18). This improvement in temporal dynamic is larger for temperate and cold regions than for the tropics. For unbiased root-mean-square error (ubRMSE) and bias, the results are regionally diverse and are compensated in the global average. Improvements are observed in temperate and cold regions, while decreases in performance are obtained mainly in the tropics. The overall improvement when adding temperature was less than expected and thus may only partly explain previously observed differences between the global GPP data sets. On interannual timescales, estimates of the VOD-GPP model agree well with GPP from FLUXCOM and MODIS. We further find that the residuals between VOD-based GPP estimates and the other data sets do not significantly correlate with SPEI, which demonstrates that the VOD-GPP model can capture responses of GPP to water availability even without including additional information on precipitation, soil moisture or evapotranspiration. Exceptions from this rule were found in some regions: significant negative correlations between VOD-GPP residuals and SPEI were observed in the US corn belt, Argentina, eastern Europe, Russia and China, while significant positive correlations were obtained in South America, Africa and Australia. In these regions, the significant correlations may indicate different plant strategies for dealing with variations in water availability.</p> <p>Overall, our findings support the robustness of global microwave-derived estimates of gross primary production for large-scale studies on climate-vegetation interactions.</p> © Copyright:",
